ABS,ActiveSafetySysNote,AdaptiveCruiseControl,AdaptiveDrivingBeam,AdaptiveHeadlights,AdditionalErrorText,AirBagLocCurtain,AirBagLocFront,AirBagLocKnee,AirBagLocSeatCushion,AirBagLocSide,AutoReverseSystem,AutomaticPedestrianAlertingSound,AxleConfiguration,Axles,BasePrice,BatteryA,BatteryA_to,BatteryCells,BatteryInfo,BatteryKWh,BatteryKWh_to,BatteryModules,BatteryPacks,BatteryType,BatteryV,BatteryV_to,BedLengthIN,BedType,BlindSpotIntervention,BlindSpotMon,BodyCabType,BodyClass,BrakeSystemDesc,BrakeSystemType,BusFloorConfigType,BusLength,BusType,CAN_AACN,CIB,CashForClunkers,ChargerLevel,ChargerPowerKW,CombinedBrakingSystem,CoolingType,CurbWeightLB,CustomMotorcycleType,DaytimeRunningLight,DestinationMarket,DisplacementCC,DisplacementCI,DisplacementL,Doors,DriveType,DriverAssist,DynamicBrakeSupport,EDR,ESC,EVDriveUnit,ElectrificationLevel,EngineConfiguration,EngineCycles,EngineCylinders,EngineHP,EngineHP_to,EngineKW,EngineManufacturer,EngineModel,EntertainmentSystem,ErrorCode,ErrorText,ForwardCollisionWarning,FuelInjectionType,FuelTankMaterial,FuelTankType,FuelTypePrimary,FuelTypeSecondary,GCWR,GCWR_to,GVWR,GVWR_to,KeylessIgnition,LaneCenteringAssistance,LaneDepartureWarning,LaneKeepSystem,LowerBeamHeadlampLightSource,Make,MakeID,Manufacturer,ManufacturerId,Model,ModelID,ModelYear,MotorcycleChassisType,MotorcycleSuspensionType,NCSABodyType,NCSAMake,NCSAMapExcApprovedBy,NCSAMapExcApprovedOn,NCSAMappingException,NCSAModel,NCSANote,NonLandUse,Note,OtherBusInfo,OtherEngineInfo,OtherMotorcycleInfo,OtherRestraintSystemInfo,OtherTrailerInfo,ParkAssist,PedestrianAutomaticEmergencyBraking,PlantCity,PlantCompanyName,PlantCountry,PlantState,PossibleValues,Pretensioner,RearAutomaticEmergencyBraking,RearCrossTrafficAlert,RearVisibilitySystem,SAEAutomationLevel,SAEAutomationLevel_to,SeatBeltsAll,SeatRows,Seats,SemiautomaticHeadlampBeamSwitching,Series,Series2,SteeringLocation,SuggestedVIN,TPMS,TopSpeedMPH,TrackWidth,TractionControl,TrailerBodyType,TrailerLength,TrailerType,TransmissionSpeeds,TransmissionStyle,Trim,Trim2,Turbo,ValveTrainDesign,VehicleDescriptor,VehicleType,WheelBaseLong,WheelBaseShort,WheelBaseType,WheelSizeFront,WheelSizeRear,WheelieMitigation,Wheels,Windows
"","","","","","","","1st Row (Driver and Passenger)","","","","","","","","","","","","","","","","","","","","","Not Applicable","","","Not Applicable","Coupe","","","Not Applicable","","Not Applicable","","","","","","","","","Not Applicable","","","3969","242.2","4.0","2","4x2","","","","","","","V-Shaped","","8","290","300","","Toyota","1UZ-FE","","1","1 - Check Digit (9th position) does not calculate properly","","","","","Gasoline","","","","Class 1: 6,000 lb or less (2,722 kg or less)","Class 1: 6,000 lb or less (2,722 kg or less)","","","","","","LEXUS","515","TOYOTA MOTOR CORPORATION","1057","SC","2183","1999","Not Applicable","Not Applicable","","","","","","","","","","","","","","","","","SUSONO","Higashi Fuji Plant, Kanto Auto Works, LTD.","JAPAN","SHIZUOKA","","","","","","","","Manual","","","","UZZ30L","","","","","","","","Not Applicable","","Not Applicable","","","300","","","Dual Overhead Cam (DOHC)","JT8CH32Y*X1","PASSENGER CAR","","","","","","","",""
"","","","","","","","1st Row (Driver and Passenger)","","","","","","","","","","","","","","","","","","","","","Not Applicable","","","Not Applicable","Coupe","","","Not Applicable","","Not Applicable","","","","","","","","","Not Applicable","","","3969","242.2","4.0","2","4x2","","","","","","","V-Shaped","","8","290","300","","Toyota","1UZ-FE","","0","0 - VIN decoded clean. Check Digit (9th position) is correct","","","","","Gasoline","","","","Class 1: 6,000 lb or less (2,722 kg or less)","Class 1: 6,000 lb or less (2,722 kg or less)","","","","","","LEXUS","515","TOYOTA MOTOR CORPORATION","1057","SC","2183","1999","Not Applicable","Not Applicable","","","","","","","","","","","","","","","","","SUSONO","Higashi Fuji Plant, Kanto Auto Works, LTD.","JAPAN","SHIZUOKA","","","","","","","","Manual","","","","UZZ30L","","","","","","","","Not Applicable","","Not Applicable","","","300","","","Dual Overhead Cam (DOHC)","JT8CH32Y*X1","PASSENGER CAR","","","","","","","",""
"","","","","","","","1st Row (Driver and Passenger)","","","","","","","","","","","","","","","","","","","","","Not Applicable","","","Not Applicable","Coupe","","","Not Applicable","","Not Applicable","","","","","","","","","Not Applicable","","","2997","182.89","3.0","2","4x2","","","","","","","In-Line","4","6","225","227","","Toyota","2JZ-GE","","0","0 - VIN decoded clean. Check Digit (9th position) is correct","","Multipoint Fuel Injection (MPFI)","","","Gasoline","","","","Class 1: 6,000 lb or less (2,722 kg or less)","Class 1: 6,000 lb or less (2,722 kg or less)","","","","","","LEXUS","515","TOYOTA MOTOR CORPORATION","1057","SC","2183","1997","Not Applicable","Not Applicable","","","","","","","","","","","","","","","","","TOYOTA CITY","Toyota Motor Corporation - Motomachi Plant","JAPAN","AICHI","","","","","","","","Manual","","","","JZZ31L","","","","","","","","Not Applicable","","Not Applicable","","","300","","","","JT8CD32Z*V0","PASSENGER CAR","","","","","","","",""
"","","","","","","","1st Row (Driver and Passenger)","","","","","","","","","","","","","","","","","","","","","Not Applicable","","","Not Applicable","Coupe","","","Not Applicable","","Not Applicable","","","","","","","","","Not Applicable","","","2997","182.89","3","2","","","","","","","","In-Line","4","6","225","227","","Toyota","2JZ-GE","","0","0 - VIN decoded clean. Check Digit (9th position) is correct","","Multipoint Fuel Injection (MPFI)","","","Gasoline","","","","Class 1: 6,000 lb or less (2,722 kg or less)","Class 1: 6,000 lb or less (2,722 kg or less)","","","","","","LEXUS","515","TOYOTA MOTOR CORPORATION","1057","SC","2183","1993","Not Applicable","Not Applicable","","","","","","","","","Model Designation:JZZ31L/UZZ30L, SPORTS COUPE","","Transmission: 4A or 5M","","","","","","TOYOTA CITY","Toyota Motor Corporation - Motomachi Plant","JAPAN","AICHI","","","","","","","","Manual","","","","","","","","","","","","Not Applicable","","Not Applicable","","","300","","","","JT8JZ31C*P0","PASSENGER CAR","","","","","","","",""
"","","","","","","","1st Row (Driver and Passenger)","","","","","","","","","","","","","","","","","","","","","Not Applicable","","","Not Applicable","Coupe","","","Not Applicable","","Not Applicable","","","","","","","","","Not Applicable","","","2997","182.89","3","2","","","","","","","","In-Line","4","6","225","227","","Toyota","2JZ-GE","","0","0 - VIN decoded clean. Check Digit (9th position) is correct","","Multipoint Fuel Injection (MPFI)","","","Gasoline","","","","Class 1: 6,000 lb or less (2,722 kg or less)","Class 1: 6,000 lb or less (2,722 kg or less)","","","","","","LEXUS","515","TOYOTA MOTOR CORPORATION","1057","SC","2183","1993","Not Applicable","Not Applicable","","","","","","","","","Model Designation:JZZ31L/UZZ30L, SPORTS COUPE","","Transmission: 4A or 5M","","","","","","TOYOTA CITY","Toyota Motor Corporation - Motomachi Plant","JAPAN","AICHI","","","","","","","","Manual","","","","","","","","","","","","Not Applicable","","Not Applicable","","","300","","","","JT8JZ31C*P0","PASSENGER CAR","","","","","","","",""
"","","","","","","","1st Row (Driver and Passenger)","","","","","","","","","","","","","","","","","","","","","Not Applicable","","","Not Applicable","Coupe","","","Not Applicable","","Not Applicable","","","","","","","","","Not Applicable","","","2997","182.89","3.0","2","4x2","","","","","","","In-Line","4","6","225","227","","Toyota","2JZ-GE","","0","0 - VIN decoded clean. Check Digit (9th position) is correct","","Multipoint Fuel Injection (MPFI)","","","Gasoline","","","","Class 1: 6,000 lb or less (2,722 kg or less)","Class 1: 6,000 lb or less (2,722 kg or less)","","","","","","LEXUS","515","TOYOTA MOTOR CORPORATION","1057","SC","2183","1996","Not Applicable","Not Applicable","","","","","","","","","","","","","","","","","TOYOTA CITY","Toyota Motor Corporation - Motomachi Plant","JAPAN","AICHI","","","","","","","","Manual","","","","JZZ31L","","","","","","","","Not Applicable","","Not Applicable","","","300","","","","JT8CD32Z*T0","PASSENGER CAR","","","","","","","",""
"","","","","","","","1st Row (Driver and Passenger)","","","","","","","","","","","","","","","","","","","","","Not Applicable","","","Not Applicable","Coupe","","","Not Applicable","","Not Applicable","","","","","","","","","Not Applicable","","","2997","182.89","3.0","2","","","","","","","","In-Line","4","6","225","227","","Toyota","2JZ-GE","","0","0 - VIN decoded clean. Check Digit (9th position) is correct","","Multipoint Fuel Injection (MPFI)","","","Gasoline","","","","Class 1: 6,000 lb or less (2,722 kg or less)","Class 1: 6,000 lb or less (2,722 kg or less)","","","","","","LEXUS","515","TOYOTA MOTOR CORPORATION","1057","SC","2183","1995","Not Applicable","Not Applicable","","","","","","","","","","","","","","","","","TOYOTA CITY","Toyota Motor Corporation - Motomachi Plant","JAPAN","AICHI","","","","","","","","Manual","","","","JZZ31L","","","","","","","","Not Applicable","","Not Applicable","","","300","","","","JT8JZ31C*S0","PASSENGER CAR","","","","","","","",""
"","","","","","","","Driver Seat Only","","","","","","","","","","","","","","","","","","","","","Not Applicable","","","Not Applicable","Coupe","","","Not Applicable","","Not Applicable","","","","","","","","","Not Applicable","","","2997","182.89","3","2","","","","","","","","In-Line","4","6","217","227","","Toyota","2JZ-GE","","0","0 - VIN decoded clean. Check Digit (9th position) is correct","","Multipoint Fuel Injection (MPFI)","","","Gasoline","","","","Class 1: 6,000 lb or less (2,722 kg or less)","Class 1: 6,000 lb or less (2,722 kg or less)","","","","","","LEXUS","515","TOYOTA MOTOR CORPORATION","1057","SC","2183","1992","Not Applicable","Not Applicable","","","","","","","","","Model Designation:JZZ31L/UZZ30L, SPORTS COUPE","","Transmission: 4A or 5M","","","","","","TOYOTA CITY","Toyota Motor Corporation - Motomachi Plant","JAPAN","AICHI","","","","","","","","Manual","","","","","","","","","","","","Not Applicable","","Not Applicable","","","300","","","","JT8JZ31C*N0","PASSENGER CAR","","","","","","","",""
"","","","","","","","Driver Seat Only","","","","","","","","","","","","","","","","","","","","","Not Applicable","","","Not Applicable","Coupe","","","Not Applicable","","Not Applicable","","","","","","","","","Not Applicable","","","2997","182.89","3","2","","","","","","","","In-Line","4","6","217","227","","Toyota","2JZ-GE","","0","0 - VIN decoded clean. Check Digit (9th position) is correct","","Multipoint Fuel Injection (MPFI)","","","Gasoline","","","","Class 1: 6,000 lb or less (2,722 kg or less)","Class 1: 6,000 lb or less (2,722 kg or less)","","","","","","LEXUS","515","TOYOTA MOTOR CORPORATION","1057","SC","2183","1992","Not Applicable","Not Applicable","","","","","","","","","Model Designation:JZZ31L/UZZ30L, SPORTS COUPE","","Transmission: 4A or 5M","","","","","","TOYOTA CITY","Toyota Motor Corporation - Motomachi Plant","JAPAN","AICHI","","","","","","","","Manual","","","","","","","","","","","","Not Applicable","","Not Applicable","","","300","","","","JT8JZ31C*N0","PASSENGER CAR","","","","","","","",""
"","","","","","","","1st Row (Driver and Passenger)","","","","","","","","","","","","","","","","","","","","","Not Applicable","","","Not Applicable","Coupe","","","Not Applicable","","Not Applicable","","","","","","","","","Not Applicable","","","2997","182.89","3.0","2","","","","","","","","In-Line","4","6","225","227","","Toyota","2JZ-GE","","0","0 - VIN decoded clean. Check Digit (9th position) is correct","","Multipoint Fuel Injection (MPFI)","","","Gasoline","","","","Class 1: 6,000 lb or less (2,722 kg or less)","Class 1: 6,000 lb or less (2,722 kg or less)","","","","","","LEXUS","515","TOYOTA MOTOR CORPORATION","1057","SC","2183","1995","Not Applicable","Not Applicable","","","","","","","","","","","","","","","","","TOYOTA CITY","Toyota Motor Corporation - Motomachi Plant","JAPAN","AICHI","","","","","","","","Manual","","","","JZZ31L","","","","","","","","Not Applicable","","Not Applicable","","","300","","","","JT8JZ31C*S0","PASSENGER CAR","","","","","","","",""
