SEARCHED_VIN,VIN_STAR,MODEL_CODE,PROD_FROM,PROD_TO,FRAME_SHORT,CHARS_BOTTOM,MARKET,YEAR_MONTH,MAKE,MODEL_NAME,DESTINATION,ENGINE,TRANSMISSION,COLOR_CODE,TRIM_CODE
SCRAP,,,,,,,,,,,,,,,
JT8CH32Y9X1001998,JT8UZ30C..,UZZ30L-ACAZKA,09/1997 -,06/2000,UZZ30,,N. America,09/1998,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,1UZFE: 4000CC 32-VALVE DOHC EFI,"ATM: AUTOMATIC TRANSMISSION GEAR SHIFT TYPE: 5FC: ATM, 5-SPEED FLOOR SHIFT",4P9,LE07
JT8CH32Y6X1002140,JT8UZ30C..,UZZ30L-ACAZKA,09/1997 -,06/2000,UZZ30,,N. America,10/1998,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,1UZFE: 4000CC 32-VALVE DOHC EFI,"ATM: AUTOMATIC TRANSMISSION GEAR SHIFT TYPE: 5FC: ATM, 5-SPEED FLOOR SHIFT",3L2,LE07
JT8JZ31C3P0015914,JT8JZ31C..,JZZ31L-ACPVFA,08/1991 -,12/1993,JZZ31,,N. America,05/1993,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"ATM: AUTOMATIC TRANSMISSION GEAR SHIFT TYPE: 4FC: ATM, 4-SPEED FLOOR SHIFT",6M2,
JY8UZ30C8R0036582,,,,,,,,,,,,,,,
JT8CD32Z7V1000253,JT8CD32Z..,JZZ31L-ACPVFA,08/1996 -,06/2000,JZZ31,,N. America,06/1997,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"ATM: AUTOMATIC TRANSMISSION GEAR SHIFT TYPE: 4FC: ATM, 4-SPEED FLOOR SHIFT",1A0,LD21
JT8JZ31C8S0032054,JT8CD32Z..,JZZ31L-ACPVFA,01/1994 -,07/1996,JZZ31,,N. America,04/1995,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"ATM: AUTOMATIC TRANSMISSION GEAR SHIFT TYPE: 4FC: ATM, 4-SPEED FLOOR SHIFT",752,
JT8JZ31C7P0015317,JT8JZ31C..,JZZ31L-ACPVFA,08/1991 -,12/1993,JZZ31,,N. America,04/1993,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"ATM: AUTOMATIC TRANSMISSION GEAR SHIFT TYPE: 4FC: ATM, 4-SPEED FLOOR SHIFT",051,
JT8JZ31C4N0001484,JT8JZ31C..,JZZ31L-ACPVFA,08/1991 -,12/1993,JZZ31,,N. America,09/1991,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"ATM: AUTOMATIC TRANSMISSION GEAR SHIFT TYPE: 4FC: ATM, 4-SPEED FLOOR SHIFT",051,
JT8CH32Y6X1002669,JT8UZ30C..,UZZ30L-ACAZKA,09/1997 -,06/2000,UZZ30,,N. America,05/1999,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,1UZFE: 4000CC 32-VALVE DOHC EFI,"ATM: AUTOMATIC TRANSMISSION GEAR SHIFT TYPE: 5FC: ATM, 5-SPEED FLOOR SHIFT",3M9,LE07
JT8CD32Z9V0037522,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,08/1996,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",3K7,
JT8CD32ZXV0037531,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,08/1996,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",1A0,
JT8CD32Z2V0037541,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,08/1996,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",6P2,
JT8CD32Z3V0037547,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,08/1996,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",1A0,
JT8CD32Z4V0037556,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,08/1996,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",3L4,
JT8CD32Z5V0037565,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,08/1996,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",6P2,
JT8CD32Z5V0037579,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,08/1996,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",6P2,
JT8CD32Z5V0037596,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,08/1996,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",051,
JT8CD32Z7V0037616,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,08/1996,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",051,
JT8CD32Z8V0037639,JT8CD32Z..,JZZ31L-ACMVFA,08/1996 -,08/1997,JZZ31,,N. America,08/1996,LEXUS,SC300/400,USA: UNITED STATES OF AMERICA,2JZGE: 3000CC 24-VALVE DOHC EFI,"MTM: MANUAL TRANSMISSION GEAR SHIFT TYPE: 5F: MTM, 5-SPEED FLOOR SHIFT",3L2,
